donor,donor_kind,regime,tissue,auroc,auroc_lo,auroc_hi,auprc,n_pos,mag_spearman,signed_spearman
ENC-001,cross-donor,full,ALL,0.6640646159938287,0.6569004186729482,0.670188806962705,0.6978384639013735,11296,,
ENC-001,cross-donor,leak_free,ALL,0.6457094021325105,0.6247348049692807,0.665988911667182,0.6601277990101261,1206,,
ENC-001,cross-donor,leak_free,Peyers_patch,0.6148356401384083,0.5180025800853072,0.6987618944636678,0.6568041692131917,68,,
ENC-001,cross-donor,leak_free,adrenal_gland,0.7036489151873767,0.6174221960486195,0.7829738640083477,0.7083245578828126,78,,
ENC-001,cross-donor,leak_free,body_of_pancreas,0.7181349906217631,0.6679737924439285,0.7649565036446582,0.7408623928967804,189,,
ENC-001,cross-donor,leak_free,esophagus_muscularis_mucosa,0.642,0.5263745601721145,0.7403083299879566,0.6430137223783897,50,,
ENC-001,cross-donor,leak_free,esophagus_squamous_epithelium,0.6051020408163266,0.5120405741169075,0.7023358716315009,0.6456056608832527,70,,
ENC-001,cross-donor,leak_free,gastroesophageal_sphincter,0.7022160664819944,0.5772636081459611,0.8194461382113821,0.6981743820272659,38,,
ENC-001,cross-donor,leak_free,prostate_gland,0.6501978342357351,0.5701306859208619,0.7242940779016732,0.6680054836193817,98,,
ENC-001,cross-donor,leak_free,spleen,0.6384,0.48887966076792483,0.7931075928381963,0.7068437959605808,25,,
ENC-001,cross-donor,leak_free,testis,0.6180795847750866,0.47096197525062655,0.7524512840366498,0.6969903125386753,34,,
ENC-001,cross-donor,leak_free,thoracic_aorta,0.7105286578853685,0.6417441096934108,0.7779681281664697,0.7157109378578722,106,,
ENC-001,cross-donor,leak_free,tibial_artery,0.6481101316266151,0.5726661330187619,0.7248662979476616,0.6735286811938856,91,,
ENC-001,cross-donor,leak_free,tibial_nerve,0.6190828402366864,0.5042534883271491,0.7239332096474953,0.6621859091432125,52,,
ENC-001,cross-donor,leak_free,transverse_colon,0.6729668932466135,0.609444704882674,0.736264880223387,0.6918088842930463,143,,
ENC-001,cross-donor,leak_free,upper_lobe_of_left_lung,0.6330578512396694,0.553222432709764,0.7082541501322752,0.6732630694347211,110,,
ENC-002,matched,full,ALL,0.6889559891865995,0.6823981278593405,0.6957518394048376,0.7318871281818554,10877,,
ENC-002,matched,leak_free,ALL,0.7315375242614497,0.7133846462725555,0.7509020581927136,0.7520583905983313,1209,,
ENC-002,matched,leak_free,Peyers_patch,0.7151259680423488,0.6491182761764499,0.7842969858156028,0.7573787477479681,101,,
ENC-002,matched,leak_free,adrenal_gland,0.7218411827465324,0.646579055321144,0.8042209272830136,0.7669019189837774,81,,
ENC-002,matched,leak_free,body_of_pancreas,0.640096618357488,0.5770410282934212,0.7074907634712853,0.6864093694257143,138,,
ENC-002,matched,leak_free,breast_epithelium,0.66015625,0.5172380085617015,0.7851596966911765,0.7158803360225248,32,,
ENC-002,matched,leak_free,esophagus_muscularis_mucosa,0.7439058956916099,0.6658751499983894,0.8179571226080794,0.772833925755859,84,,
ENC-002,matched,leak_free,esophagus_squamous_epithelium,0.7714210848109005,0.7100394644611178,0.8282263223643604,0.7790644653479951,107,,
ENC-002,matched,leak_free,gastroesophageal_sphincter,0.6826322365680967,0.5641639799154334,0.7776430697278911,0.6942054886287247,49,,
ENC-002,matched,leak_free,prostate_gland,0.704719387755102,0.6020137604025845,0.7967948717948719,0.7432861016244391,56,,
ENC-002,matched,leak_free,sigmoid_colon,0.7658730158730158,0.6510304826652297,0.8641415567850518,0.7583480821627904,42,,
ENC-002,matched,leak_free,spleen,0.6919884141061244,0.638578152904614,0.7453647408751765,0.7332596368992836,183,,
ENC-002,matched,leak_free,testis,0.6896,0.5271779499151104,0.8273132692307692,0.7431434303155355,25,,
ENC-002,matched,leak_free,thyroid_gland,0.7802176257229683,0.720763872742773,0.8416877459650145,0.7951565233812088,101,,
ENC-002,matched,leak_free,transverse_colon,0.7549258772752862,0.6713526343244652,0.8293083656688839,0.7554948371615255,73,,
ENC-002,matched,leak_free,upper_lobe_of_left_lung,0.7127759266972095,0.6416629568884724,0.7806416959954656,0.7367935851309767,98,,
ENC-003,cross-donor,full,ALL,0.6658649178732101,0.6588792537678038,0.6731661834201659,0.7045205299215835,10462,,
ENC-003,cross-donor,leak_free,ALL,0.6925390558857867,0.6695051222290441,0.7141819912178676,0.7104995410689712,1111,,
ENC-003,cross-donor,leak_free,Peyers_patch,0.7074048442906574,0.6223346683131921,0.7783494495222268,0.7265870929045881,85,,
ENC-003,cross-donor,leak_free,adrenal_gland,0.6166207529843893,0.5256318792019692,0.7159828139377,0.6386155087642602,66,,
ENC-003,cross-donor,leak_free,body_of_pancreas,0.6648979591836734,0.5742942687381453,0.751651418371856,0.6744278522432734,70,,
ENC-003,cross-donor,leak_free,coronary_artery,0.6129489603024574,0.4896906640457167,0.7216106601731602,0.6589865189551789,46,,
ENC-003,cross-donor,leak_free,esophagus_squamous_epithelium,0.6807402659830155,0.5918637985149179,0.7659878900212203,0.6770267487757797,79,,
ENC-003,cross-donor,leak_free,gastrocnemius_medialis,0.7033293697978598,0.6020758943206849,0.7925633373869261,0.7137880001183708,58,,
ENC-003,cross-donor,leak_free,gastroesophageal_sphincter,0.7349953831948292,0.6361628246573411,0.818571263122609,0.7431738712651814,57,,
ENC-003,cross-donor,leak_free,heart_left_ventricle,0.6701730103806228,0.5846029280989783,0.7506930792403592,0.6640848544972893,85,,
ENC-003,cross-donor,leak_free,ovary,0.6180844735276622,0.47749818336425476,0.7252614039687021,0.6293856851978267,41,,
ENC-003,cross-donor,leak_free,right_lobe_of_liver,0.6617036011080333,0.5770804763537323,0.7470945037078942,0.7117478340946856,76,,
ENC-003,cross-donor,leak_free,spleen,0.7629513343799059,0.6873139647046103,0.8313673292419504,0.7807175915301657,91,,
ENC-003,cross-donor,leak_free,thyroid_gland,0.6318359375,0.49698089202483736,0.762910426267281,0.6975936956868223,32,,
ENC-003,cross-donor,leak_free,tibial_nerve,0.6784289014912833,0.5900564753413187,0.7627220173281816,0.707293681892003,69,,
ENC-003,cross-donor,leak_free,transverse_colon,0.7650100545820167,0.6772011223162003,0.8481538863353518,0.77018963007062,59,,
ENC-003,cross-donor,leak_free,upper_lobe_of_left_lung,0.6547271970012495,0.5412262156448203,0.7575184264013692,0.6383065895792897,49,,
ENC-003,cross-donor,leak_free,uterus,0.701009453613203,0.6151115838365625,0.7788263419482157,0.7329112284703225,79,,
ENC-004,cross-donor,full,ALL,0.6819086160352035,0.6746166693865548,0.6892729813786898,0.7097319738142538,10629,,
ENC-004,cross-donor,leak_free,ALL,0.6713599710430533,0.6492582211105823,0.6902120355315235,0.7003466086376174,1115,,
