donor,donor_kind,regime,tissue,auroc,auroc_lo,auroc_hi,auprc,n_pos,mag_spearman,signed_spearman
ENC-001,cross-donor,full,ALL,0.6518179372890903,0.6450204355203903,0.658833669387135,0.6740831421000852,11296,,
ENC-001,cross-donor,leak_free,ALL,0.612217725633854,0.588754704681126,0.634156693771164,0.6210151982629319,1206,,
ENC-001,cross-donor,leak_free,Peyers_patch,0.6438148788927336,0.5400504701433182,0.7354302316632032,0.6371750713077146,68,,
ENC-001,cross-donor,leak_free,adrenal_gland,0.6911571334648258,0.6084233317311899,0.7767139090309821,0.6744901066087172,78,,
ENC-001,cross-donor,leak_free,body_of_pancreas,0.6320931664847009,0.5737386311132288,0.6837908508444339,0.649319274261817,189,,
ENC-001,cross-donor,leak_free,esophagus_muscularis_mucosa,0.6100000000000001,0.4988928717141692,0.7142937907863282,0.6210169047218436,50,,
ENC-001,cross-donor,leak_free,esophagus_squamous_epithelium,0.5838775510204082,0.4918228676085819,0.6784554771505376,0.586625757076146,70,,
ENC-001,cross-donor,leak_free,gastroesophageal_sphincter,0.7444598337950139,0.6201066571379071,0.8555326521024196,0.7426001541810908,38,,
ENC-001,cross-donor,leak_free,prostate_gland,0.6289566847147022,0.5468512001587922,0.7028462339835232,0.6730831827527836,98,,
ENC-001,cross-donor,leak_free,spleen,0.6672,0.5122690638807581,0.8109451970443349,0.6620853479683502,25,,
ENC-001,cross-donor,leak_free,testis,0.541955017301038,0.40538132440476193,0.6843154525903498,0.5869786679554553,34,,
ENC-001,cross-donor,leak_free,thoracic_aorta,0.6347899608401565,0.5638001253132833,0.7033086718278687,0.645354568267029,106,,
ENC-001,cross-donor,leak_free,tibial_artery,0.5455862818500181,0.4609911657775317,0.6258485001685204,0.535603176702464,91,,
ENC-001,cross-donor,leak_free,tibial_nerve,0.5854289940828402,0.4796518550372673,0.6907176762975427,0.5718400667587931,52,,
ENC-001,cross-donor,leak_free,transverse_colon,0.6228910949190669,0.5559815316102137,0.68749362882173,0.6148197419214871,143,,
ENC-001,cross-donor,leak_free,upper_lobe_of_left_lung,0.5995867768595041,0.522418389037768,0.6732110027317794,0.6336003354317357,110,,
ENC-002,matched,full,ALL,0.6508467110767082,0.6437583133463775,0.6580442173373477,0.6637902737896462,10877,,
ENC-002,matched,leak_free,ALL,0.6773947256617552,0.6568829928344035,0.6995330761066132,0.6787235028431667,1209,,
ENC-002,matched,leak_free,Peyers_patch,0.7038525634741691,0.6325277488063784,0.7809659098916275,0.6974194235316272,101,,
ENC-002,matched,leak_free,adrenal_gland,0.6936442615454961,0.6066851069979982,0.7698613133760777,0.7250745322533843,81,,
