donor,donor_kind,regime,tissue,auroc,auroc_lo,auroc_hi,auprc,n_pos,mag_spearman,signed_spearman
ENC-001,cross-donor,full,ALL,0.5418929368622449,0.5185897735021836,0.5640554893451473,0.5762425650535915,1120,,
ENC-001,cross-donor,leak_free,ALL,0.5454956994114983,0.48475549640145904,0.6141899429315149,0.5392531643167555,141,,
ENC-001,cross-donor,leak_free,sigmoid_colon,0.5349999999999999,0.34634192904135336,0.7317814058048432,0.5632496161930562,20,,
ENC-001,cross-donor,leak_free,tibial_nerve,0.5190910291980446,0.43479653851235306,0.6037677403883799,0.4914939668106033,87,,
ENC-002,matched,full,ALL,0.6726123456790123,0.6193124143231045,0.7243876039149322,0.6559520415072587,225,,
ENC-002,matched,leak_free,ALL,0.3727810650887574,0.16248511904761903,0.6340598739495797,0.4859823673058968,13,,
ENC-003,cross-donor,full,ALL,0.6880609418282548,0.634725868472885,0.7392235823851704,0.6907917282813075,190,,
ENC-003,cross-donor,leak_free,ALL,0.650887573964497,0.4181818181818182,0.8631845238095237,0.7079945054945054,13,,
ENC-004,cross-donor,full,ALL,0.5556397938684601,0.5220452815351847,0.594854250050396,0.5821900056459098,535,,
ENC-004,cross-donor,leak_free,ALL,0.5964083175803403,0.47576610120212165,0.720719772129045,0.6068432387884275,46,,
ENC-004,cross-donor,leak_free,upper_lobe_of_left_lung,0.43755102040816324,0.3031045751633987,0.5761464117225261,0.463828061985443,35,,
