donor,donor_kind,regime,tissue,auroc,auroc_lo,auroc_hi,auprc,n_pos,mag_spearman,signed_spearman
ENC-001,cross-donor,full,ALL,0.5023672672193877,0.4776642969371201,0.5263973985591726,0.4920370598260267,1120,0.03489519382821981,0.1077588679718544
ENC-001,cross-donor,leak_free,ALL,0.5546501685025904,0.48892635224724157,0.6232211403122391,0.519254750224106,141,0.05365951556109909,0.13291964888241972
ENC-001,cross-donor,leak_free,sigmoid_colon,0.4175,0.24241832386363635,0.6080255639097744,0.45840179368212086,20,0.06806829913723775,
ENC-001,cross-donor,leak_free,tibial_nerve,0.6010040956533227,0.5095227602258852,0.6830565467878764,0.5613596009048218,87,0.05516032269824559,
ENC-002,matched,full,ALL,0.49856790123456785,0.4477573856792709,0.5528613155022186,0.5133567868021418,225,0.02860137583073207,0.12200109667648237
ENC-002,matched,leak_free,ALL,0.5207100591715976,0.28098930481283424,0.7777777777777777,0.5051139666345668,13,0.024671774100817476,0.06782472479686796
ENC-003,cross-donor,full,ALL,0.5604432132963989,0.5060277107745367,0.6200270607770607,0.561564256791518,190,0.015653709146312297,0.07606372102329262
ENC-003,cross-donor,leak_free,ALL,0.6153846153846154,0.37277526395173455,0.8284439416792357,0.6468761310664144,13,-0.0014079513249222661,-0.003924813599664397
ENC-004,cross-donor,full,ALL,0.48401083064023054,0.4486271438878077,0.5171500055596968,0.4927761875380895,535,0.03484791461218282,0.1078988850285347
ENC-004,cross-donor,leak_free,ALL,0.4898393194706995,0.3708727368996379,0.614187293241966,0.5752004245322994,46,0.006451078755835604,0.142704602220127
ENC-004,cross-donor,leak_free,upper_lobe_of_left_lung,0.3787755102040816,0.25570709927327573,0.5061338614393126,0.41537353452120435,35,-0.06722035937883854,
