donor,donor_kind,regime,tissue,auroc,auroc_lo,auroc_hi,auprc,n_pos,mag_spearman,signed_spearman
ENC-001,cross-donor,full,ALL,0.498132174744898,0.47222365662523436,0.5218856260010497,0.5074472755785149,1120,0.011808217894449684,0.04013660513408601
ENC-001,cross-donor,leak_free,ALL,0.4589306372918867,0.3931465351626772,0.5245262818840799,0.46448758287344705,141,0.003955820743801742,0.060846044297747634
ENC-001,cross-donor,leak_free,sigmoid_colon,0.415,0.23553970396075663,0.6153846153846154,0.44414711789855094,20,0.05080088659673334,
ENC-001,cross-donor,leak_free,tibial_nerve,0.48526885982296214,0.39534883720930236,0.5723914095507415,0.4866599139082196,87,-0.02188272849050093,
ENC-002,matched,full,ALL,0.5796938271604938,0.5261771490557161,0.6321136697139355,0.5722041436205738,225,0.00581853524251417,0.07927657012835676
ENC-002,matched,leak_free,ALL,0.5325443786982249,0.28098930481283424,0.770843545751634,0.5627736713414464,13,-0.059090002785744236,0.031374162739197554
ENC-003,cross-donor,full,ALL,0.5602216066481994,0.5064361207005563,0.6187316893523562,0.5582610618899427,190,0.002266622514311224,0.016912666339411613
ENC-003,cross-donor,leak_free,ALL,0.6094674556213018,0.3690401785714285,0.8250595238095237,0.6338971245472793,13,0.008161772684109368,0.034975917814558215
ENC-004,cross-donor,full,ALL,0.5304009083762773,0.49421318750572485,0.566440324869679,0.5263713588665466,535,0.019317570376860434,0.028912913325377664
ENC-004,cross-donor,leak_free,ALL,0.5576559546313801,0.4401719629211311,0.6751929294122702,0.5431558700883053,46,0.010019815736668332,0.004605768560967423
ENC-004,cross-donor,leak_free,upper_lobe_of_left_lung,0.5355102040816326,0.3955592105263158,0.6677891599569481,0.5377261916752505,35,-0.0481157591303064,
