donor,donor_kind,regime,tissue,auroc,auroc_lo,auroc_hi,auprc,n_pos,mag_spearman,signed_spearman
ENC-001,cross-donor,full,ALL,0.5346364795918368,0.5110216807259256,0.5577856727561105,0.5667138582208833,1120,,
ENC-001,cross-donor,leak_free,ALL,0.5367939238468891,0.47494553728281036,0.6060828209666966,0.5308307478533176,141,,
ENC-001,cross-donor,leak_free,sigmoid_colon,0.505,0.32494791666666667,0.6990960929336467,0.5205964426064694,20,,
ENC-001,cross-donor,leak_free,tibial_nerve,0.5234509182190514,0.4349038074585406,0.6131769838834333,0.49405841940400613,87,,
ENC-002,matched,full,ALL,0.6621037037037036,0.6107930343764296,0.7128039312706774,0.648606713137806,225,,
ENC-002,matched,leak_free,ALL,0.39644970414201186,0.19385281385281386,0.642435064935065,0.4980847419806229,13,,
ENC-003,cross-donor,full,ALL,0.6756925207756233,0.6205291819088793,0.7300360700566427,0.6666817437305433,190,,
ENC-003,cross-donor,leak_free,ALL,0.6568047337278107,0.4363636363636364,0.8681586779448621,0.6966833751044277,13,,
ENC-004,cross-donor,full,ALL,0.5491641191370426,0.5156597222222221,0.5859717332847891,0.5745255184630833,535,,
ENC-004,cross-donor,leak_free,ALL,0.6058601134215501,0.4849941207441208,0.7271419331816761,0.6135743134353818,46,,
ENC-004,cross-donor,leak_free,upper_lobe_of_left_lung,0.45795918367346933,0.32665044492758305,0.5978662764447884,0.4799833312843397,35,,
