donor,donor_kind,regime,tissue,auroc,auroc_lo,auroc_hi,auprc,n_pos,mag_spearman,signed_spearman
ENC-001,cross-donor,full,ALL,0.5742924904336735,0.5492566033163994,0.5959844826665628,0.6175613914769698,1120,,
ENC-001,cross-donor,leak_free,ALL,0.5202957597706352,0.4544596396334843,0.5885299055568447,0.513219709238663,141,,
ENC-001,cross-donor,leak_free,sigmoid_colon,0.5175000000000001,0.33575562948291443,0.7110169926094008,0.5675797626582528,20,,
ENC-001,cross-donor,leak_free,tibial_nerve,0.5089179548156956,0.4189170708787812,0.6008703884087039,0.49130060986988655,87,,
ENC-002,matched,full,ALL,0.6996345679012345,0.6477315925469064,0.7480234427298753,0.71924068352117,225,,
ENC-002,matched,leak_free,ALL,0.41420118343195267,0.19605812739296902,0.6732475490196078,0.5082335552304593,13,,
ENC-003,cross-donor,full,ALL,0.7319113573407202,0.6797483091401451,0.7803843102966752,0.7555839706014954,190,,
ENC-003,cross-donor,leak_free,ALL,0.5976331360946746,0.37567736185383244,0.8303030303030303,0.6959401220442409,13,,
ENC-004,cross-donor,full,ALL,0.5765044982094507,0.5425545786546124,0.6132365477758575,0.6168907215352993,535,,
ENC-004,cross-donor,leak_free,ALL,0.5718336483931947,0.4518180272676285,0.6944085425209697,0.6040700901436227,46,,
ENC-004,cross-donor,leak_free,upper_lobe_of_left_lung,0.41714285714285715,0.28400619293770135,0.5653737293443175,0.48481427672182004,35,,
