donor,donor_kind,regime,tissue,auroc,auroc_lo,auroc_hi,auprc,n_pos,mag_spearman,signed_spearman
ENC-001,cross-donor,full,ALL,0.5486308195153061,0.5252785577657697,0.5724385668256636,0.5792294341741226,1120,,
ENC-001,cross-donor,leak_free,ALL,0.5265328705799507,0.46484606839368753,0.593179059855298,0.5028578215669832,141,,
ENC-001,cross-donor,leak_free,sigmoid_colon,0.51,0.3225,0.7045454545454545,0.5402600250542628,20,,
ENC-001,cross-donor,leak_free,tibial_nerve,0.4971594662438895,0.4119493908153702,0.5861827576604837,0.47242968863872614,87,,
ENC-002,matched,full,ALL,0.681204938271605,0.6299777416546652,0.7312581278545831,0.6601860400814207,225,,
ENC-002,matched,leak_free,ALL,0.3668639053254438,0.15476190476190477,0.6131273342670401,0.48180085221792873,13,,
ENC-003,cross-donor,full,ALL,0.6912465373961219,0.6376057849978066,0.742695712940588,0.6940251782326083,190,,
ENC-003,cross-donor,leak_free,ALL,0.7041420118343196,0.49696657509157516,0.9091314935064935,0.7424023540694176,13,,
ENC-004,cross-donor,full,ALL,0.5591055987422482,0.5254731471722707,0.5962607248831285,0.5884447098715753,535,,
ENC-004,cross-donor,leak_free,ALL,0.610586011342155,0.49585307201573675,0.7328723404255318,0.6097725836458674,46,,
ENC-004,cross-donor,leak_free,upper_lobe_of_left_lung,0.43020408163265306,0.294359788871689,0.5739795918367347,0.46798795813175914,35,,
