donor,donor_kind,regime,tissue,auroc,auroc_lo,auroc_hi,auprc,n_pos,mag_spearman,signed_spearman
ENC-001,cross-donor,full,ALL,0.5973158482142857,0.5724615595163055,0.6205432223411378,0.6271867406895069,1120,,
ENC-001,cross-donor,leak_free,ALL,0.5514310145364921,0.48320742349577445,0.6191893581584478,0.559661070982212,141,,
ENC-001,cross-donor,leak_free,sigmoid_colon,0.635,0.4518939393939394,0.8055573316283036,0.6630586266727924,20,,
ENC-001,cross-donor,leak_free,tibial_nerve,0.47232131060906335,0.3906425653594771,0.5606199389353512,0.46665239121196106,87,,
ENC-002,matched,full,ALL,0.6584888888888889,0.6061417978121464,0.7064570599351803,0.6995247705861725,225,,
ENC-002,matched,leak_free,ALL,0.5621301775147929,0.30930451127819547,0.7818805704099822,0.5939804150098267,13,,
ENC-003,cross-donor,full,ALL,0.6716343490304708,0.6143476454293628,0.725139550932216,0.6748778610356658,190,,
ENC-003,cross-donor,leak_free,ALL,0.7988165680473372,0.6059417706476531,0.9636363636363636,0.823638496006917,13,,
ENC-004,cross-donor,full,ALL,0.5505214429207792,0.5169628734001459,0.586449935236592,0.578090503722021,535,,
ENC-004,cross-donor,leak_free,ALL,0.5734877126654064,0.45001089456708404,0.6960024014935178,0.6522914911527641,46,,
ENC-004,cross-donor,leak_free,upper_lobe_of_left_lung,0.5208163265306123,0.3894450224807368,0.6609887049225284,0.5384103430441427,35,,
