donor,donor_kind,regime,tissue,auroc,auroc_lo,auroc_hi,auprc,n_pos,mag_spearman,signed_spearman
ENC-001,cross-donor,full,ALL,0.5602356240633201,0.5528565586218994,0.5677723011604231,0.6268727106668617,11296,0.013181306191489418,0.059289870259164795
ENC-001,cross-donor,leak_free,ALL,0.6258308943007165,0.6017865367541833,0.6487113421621826,0.6896210425522016,1089,0.05157221875060321,0.08363245773353627
ENC-001,cross-donor,leak_free,Peyers_patch,0.6946938775510203,0.5973543713391063,0.7790273617784306,0.7592471316558749,70,0.0801878974546285,
ENC-001,cross-donor,leak_free,adrenal_gland,0.7092466616276141,0.6178025993663595,0.8019782194486991,0.7575054998262554,63,0.09687232409945624,
ENC-001,cross-donor,leak_free,body_of_pancreas,0.6139296124828533,0.5597485830161795,0.6609858637072932,0.6678071206437879,216,0.008510615857947549,
ENC-001,cross-donor,leak_free,esophagus_muscularis_mucosa,0.6054421768707483,0.43020594965675063,0.7712060536717287,0.6513271112152013,21,-0.008129893046574022,
ENC-001,cross-donor,leak_free,esophagus_squamous_epithelium,0.6224529027297194,0.5106785298538928,0.7301109666895346,0.6995299753649671,51,0.12299381314150505,
ENC-001,cross-donor,leak_free,gastrocnemius_medialis,0.6632653061224489,0.5076756066411239,0.8020886479591837,0.7458123253770017,28,0.06754525256029369,
ENC-001,cross-donor,leak_free,gastroesophageal_sphincter,0.6967455621301775,0.5452722800925925,0.8312897559171598,0.7757125141511235,26,0.08888715557036841,
ENC-001,cross-donor,leak_free,prostate_gland,0.5934948096885814,0.5090698467261544,0.6775164036544851,0.6931304509279057,85,0.06804544024540181,
ENC-001,cross-donor,leak_free,spleen,0.6453402366863905,0.5344339250493096,0.7463144841269842,0.7209055594986618,52,0.13350168348096036,
ENC-001,cross-donor,leak_free,testis,0.5516528925619834,0.38635856331168833,0.7218660201149425,0.6483994260051222,22,0.034074978989448425,
ENC-001,cross-donor,leak_free,thoracic_aorta,0.659681130834977,0.5673556242237017,0.7452870617944147,0.7125254218609571,78,0.02481758946798323,
ENC-001,cross-donor,leak_free,tibial_artery,0.5638200183654729,0.46199153999587317,0.6585536744656243,0.6530346882082371,66,0.012507101035989135,
ENC-001,cross-donor,leak_free,tibial_nerve,0.6465028355387524,0.4715686221859426,0.794357577513764,0.7072160515089181,23,0.08075514608005654,
ENC-001,cross-donor,leak_free,transverse_colon,0.7284560840536205,0.6712944759368573,0.7876598157784491,0.7808545056188447,139,0.047054151010010745,
ENC-001,cross-donor,leak_free,upper_lobe_of_left_lung,0.6365593112244898,0.5621123688709934,0.7057074810606061,0.692891921351658,112,0.03451604976786218,
ENC-002,matched,full,ALL,0.6116778486299228,0.6038196568151032,0.618672223150373,0.6786966036975434,10877,0.029225707466434804,0.0659158350740663
