donor,donor_kind,regime,tissue,auroc,auroc_lo,auroc_hi,auprc,n_pos,mag_spearman,signed_spearman
ENC-001,cross-donor,full,ALL,0.6200779358144777,0.6126928037464597,0.6274987599816558,0.6685805142257912,11296,,
ENC-001,cross-donor,leak_free,ALL,0.6252399555566556,0.6046123750602271,0.6454485604792711,0.6392894421671129,1206,,
ENC-001,cross-donor,leak_free,Peyers_patch,0.666955017301038,0.5700469578515586,0.7502449156746033,0.6925986273484099,68,,
ENC-001,cross-donor,leak_free,adrenal_gland,0.6456278763971072,0.5607545757422402,0.7317085197479194,0.66927071840409,78,,
ENC-001,cross-donor,leak_free,body_of_pancreas,0.687424764144341,0.632754607774511,0.7393543445192451,0.7083640975593426,189,,
ENC-001,cross-donor,leak_free,esophagus_muscularis_mucosa,0.6195999999999999,0.510517647514664,0.7193922530875057,0.6147760689080426,50,,
ENC-001,cross-donor,leak_free,esophagus_squamous_epithelium,0.5871428571428571,0.48885481582652146,0.6826553594410737,0.6310345938412183,70,,
ENC-001,cross-donor,leak_free,gastroesophageal_sphincter,0.6738227146814404,0.5468837911508689,0.7927194556469522,0.661230100814179,38,,
ENC-001,cross-donor,leak_free,prostate_gland,0.6151082882132445,0.5396842391235274,0.6896661465480354,0.6462061760817528,98,,
ENC-001,cross-donor,leak_free,spleen,0.5904,0.41826923076923084,0.7552302564102563,0.6755395292382448,25,,
ENC-001,cross-donor,leak_free,testis,0.689878892733564,0.5531727580738177,0.8043506493506494,0.6779095275398326,34,,
ENC-001,cross-donor,leak_free,thoracic_aorta,0.665316838732645,0.5935439769900988,0.7399686651167073,0.6831651415682296,106,,
ENC-001,cross-donor,leak_free,tibial_artery,0.6284265185364086,0.5543749324380178,0.7047309485495408,0.6458437794983412,91,,
ENC-001,cross-donor,leak_free,tibial_nerve,0.603180473372781,0.48587184272738587,0.7141444088319089,0.600439866915206,52,,
ENC-001,cross-donor,leak_free,transverse_colon,0.6703750794659886,0.6079758847523471,0.7321173079068466,0.6786386057219858,143,,
ENC-001,cross-donor,leak_free,upper_lobe_of_left_lung,0.6877685950413223,0.6173891910691479,0.7505681489481594,0.6881940578523751,110,,
ENC-002,matched,full,ALL,0.6556009764893121,0.6483795046365831,0.6628145138213729,0.7110376540282968,10877,,
ENC-002,matched,leak_free,ALL,0.6492983079071288,0.6286036128694533,0.6704953673768846,0.7101192190979339,1209,,
ENC-002,matched,leak_free,Peyers_patch,0.6970885207332614,0.6208346846635124,0.7724662017173731,0.7635699937011009,101,,
ENC-002,matched,leak_free,adrenal_gland,0.711629324798049,0.636569973310784,0.7942662816055596,0.7558050330835636,81,,
ENC-002,matched,leak_free,body_of_pancreas,0.5773471959672338,0.5070917226461246,0.6474620872998667,0.6580650754414569,138,,
ENC-002,matched,leak_free,breast_epithelium,0.646484375,0.5085051554017072,0.7783743842364532,0.6871557361102364,32,,
ENC-002,matched,leak_free,esophagus_muscularis_mucosa,0.6519274376417233,0.5663253151104781,0.7335614860403697,0.7224808267193459,84,,
ENC-002,matched,leak_free,esophagus_squamous_epithelium,0.7469648004192506,0.6836795930266849,0.8099737762237762,0.775060480709138,107,,
ENC-002,matched,leak_free,gastroesophageal_sphincter,0.46314035818409,0.3496239517819707,0.5880913566880579,0.5948583346787706,49,,
