donor,donor_kind,regime,tissue,auroc,auroc_lo,auroc_hi,auprc,n_pos,mag_spearman,signed_spearman
ENC-001,cross-donor,full,ALL,0.5671108132488424,0.5595193623865914,0.575091510880809,0.6353496439124842,11296,,
ENC-001,cross-donor,leak_free,ALL,0.5862378956516479,0.5619275556079079,0.6089981689364935,0.6085562365220969,1206,,
ENC-001,cross-donor,leak_free,Peyers_patch,0.5843425605536332,0.4805770252991274,0.6788244047619049,0.6232767173117782,68,,
ENC-001,cross-donor,leak_free,adrenal_gland,0.6231097961867192,0.5325382840626743,0.713637539027023,0.6569279387184379,78,,
ENC-001,cross-donor,leak_free,body_of_pancreas,0.6747711430251112,0.618958142112581,0.7261540276219324,0.7009478837616776,189,,
ENC-001,cross-donor,leak_free,esophagus_muscularis_mucosa,0.6644,0.5594421314102566,0.7591429144921719,0.6534311415124446,50,,
ENC-001,cross-donor,leak_free,esophagus_squamous_epithelium,0.5728571428571428,0.46651411484651106,0.6678931603005532,0.6405451330108287,70,,
ENC-001,cross-donor,leak_free,gastroesophageal_sphincter,0.5941828254847645,0.46354093720821665,0.7256630418507148,0.6504137691403805,38,,
ENC-001,cross-donor,leak_free,prostate_gland,0.5059870887130362,0.4296952951874135,0.5838049827421965,0.5743661092092809,98,,
ENC-001,cross-donor,leak_free,spleen,0.5056,0.34299408103755924,0.6683901972624798,0.6174352580766315,25,,
ENC-001,cross-donor,leak_free,testis,0.625,0.4878461636178862,0.745714190653637,0.6666327285606508,34,,
ENC-001,cross-donor,leak_free,thoracic_aorta,0.62375400498398,0.5427807486631016,0.696925014479594,0.6419554758833764,106,,
ENC-001,cross-donor,leak_free,tibial_artery,0.5943726603067262,0.514202805278314,0.6729740192250877,0.6307091193821449,91,,
ENC-001,cross-donor,leak_free,tibial_nerve,0.5795118343195266,0.46539955604883465,0.6941762125849518,0.59019685804293,52,,
ENC-001,cross-donor,leak_free,transverse_colon,0.6400312973739548,0.5747035694559515,0.7047082610066913,0.656328922300798,143,,
ENC-001,cross-donor,leak_free,upper_lobe_of_left_lung,0.6549586776859504,0.5814580354900752,0.7205091890993686,0.6721519542682942,110,,
ENC-002,matched,full,ALL,0.6185428429618478,0.6105544272654516,0.6260047042168339,0.6867923076843306,10877,,
ENC-002,matched,leak_free,ALL,0.5988478334191933,0.5772811231368052,0.6210370873986104,0.6830455450302556,1209,,
ENC-002,matched,leak_free,Peyers_patch,0.6510146064111362,0.5704314327082184,0.7374775964290581,0.7374175678369382,101,,
ENC-002,matched,leak_free,adrenal_gland,0.6564548087181832,0.5711425694046374,0.7399280379733055,0.7179729962221918,81,,
ENC-002,matched,leak_free,body_of_pancreas,0.53743961352657,0.46637041464647133,0.6084461278466772,0.6296646477664506,138,,
ENC-002,matched,leak_free,breast_epithelium,0.669921875,0.5291319444444443,0.796803347465112,0.730773158684403,32,,
ENC-002,matched,leak_free,esophagus_muscularis_mucosa,0.5795068027210885,0.48984752104004975,0.6684675460749624,0.6885267651368587,84,,
ENC-002,matched,leak_free,esophagus_squamous_epithelium,0.7283605555070312,0.6607835383794918,0.7979218812095852,0.7695961086590375,107,,
ENC-002,matched,leak_free,gastroesophageal_sphincter,0.4189920866305706,0.3056577568134171,0.5426041666666666,0.5637683411988086,49,,
ENC-002,matched,leak_free,prostate_gland,0.5411352040816326,0.42564435443931503,0.6539540393816708,0.6572618199863612,56,,
ENC-002,matched,leak_free,sigmoid_colon,0.4614512471655329,0.32142424460243607,0.5844721469823628,0.5966932880795968,42,,
ENC-002,matched,leak_free,spleen,0.6110812505598854,0.5516649089260541,0.673033633318509,0.6885700953669219,183,,
ENC-002,matched,leak_free,testis,0.5680000000000001,0.38782051282051283,0.7279248227617792,0.7126098916808907,25,,
ENC-002,matched,leak_free,thyroid_gland,0.7153220272522303,0.646433709858759,0.7840474842239642,0.7577144097951698,101,,
ENC-002,matched,leak_free,transverse_colon,0.5847250891349222,0.4887817389482888,0.683169613448146,0.6783614012475961,73,,
ENC-002,matched,leak_free,upper_lobe_of_left_lung,0.5078613077884215,0.42098091879541,0.5905422215063001,0.6231558502068945,98,,
ENC-003,cross-donor,full,ALL,0.5799838102855859,0.5723662428914027,0.5879485465135564,0.6431681409707152,10462,,
ENC-003,cross-donor,leak_free,ALL,0.6247438875300672,0.6005090934798076,0.6463723363708587,0.6718448652080027,1111,,
ENC-003,cross-donor,leak_free,Peyers_patch,0.641522491349481,0.5581353474578219,0.7211399360133537,0.6873031866685734,85,,
ENC-003,cross-donor,leak_free,adrenal_gland,0.5647382920110193,0.4638843979769718,0.6645162772770399,0.6061524715066174,66,,
ENC-003,cross-donor,leak_free,body_of_pancreas,0.6671428571428571,0.576120388446942,0.7535200359297115,0.689807931508826,70,,
ENC-003,cross-donor,leak_free,coronary_artery,0.5344990548204159,0.41110651172489093,0.653420928030303,0.627228971777303,46,,
ENC-003,cross-donor,leak_free,esophagus_squamous_epithelium,0.7159910270789938,0.6366356345486064,0.7908623290072576,0.6857233273516886,79,,
