donor,donor_kind,regime,tissue,auroc,auroc_lo,auroc_hi,auprc,n_pos,mag_spearman,signed_spearman
ENC-001,cross-donor,full,ALL,0.5754145960752735,0.5681561358317601,0.5831497097852786,0.634842269205707,11296,0.052508053098778186,-0.06366481649814013
ENC-001,cross-donor,leak_free,ALL,0.6105564150839909,0.5897316486167564,0.631304981509794,0.6377190680697657,1357,0.06813848411012936,-0.0703598345719397
ENC-001,cross-donor,leak_free,Peyers_patch,0.6054507009162816,0.531945424605975,0.683005938556865,0.6529928659397018,113,0.09769687433080335,
ENC-001,cross-donor,leak_free,adrenal_gland,0.7107716722872446,0.6243653393459826,0.7908928571428571,0.7469789425311819,71,0.06277712231038352,
ENC-001,cross-donor,leak_free,body_of_pancreas,0.5982875000000001,0.541300586484969,0.6518336610844525,0.6520324126082128,200,0.03216979582189412,
ENC-001,cross-donor,leak_free,esophagus_muscularis_mucosa,0.6042240587695132,0.4598916197303294,0.7394407139577595,0.6500562515543409,33,0.0742802096506293,
ENC-001,cross-donor,leak_free,esophagus_squamous_epithelium,0.6385562489458594,0.5453909293798478,0.7250965717388536,0.6919249461380443,77,0.1407569019584744,
ENC-001,cross-donor,leak_free,gastrocnemius_medialis,0.6493055555555556,0.4809427146350071,0.8073016826923076,0.66414497964561,24,0.07650865365142678,
ENC-001,cross-donor,leak_free,gastroesophageal_sphincter,0.6800554016620499,0.5595073209339138,0.7951668615731116,0.7275193441573865,38,0.1195842282047173,
ENC-001,cross-donor,leak_free,prostate_gland,0.6283884297520662,0.5504269690939367,0.7057026015449326,0.6959937152627811,110,0.08305442905385405,
ENC-001,cross-donor,leak_free,spleen,0.6491666666666667,0.5464155595178077,0.7441324019768668,0.6961013828241326,60,0.08734012008336424,
ENC-001,cross-donor,leak_free,suprapubic_skin,0.4577777777777778,0.31084327275733525,0.6005256244386679,0.4719066938012641,30,0.05261391978037824,
ENC-001,cross-donor,leak_free,thoracic_aorta,0.6256441610621014,0.5547506402741319,0.7000950568926486,0.6348610710866252,107,0.05994989856511801,
ENC-001,cross-donor,leak_free,tibial_artery,0.6598007138607972,0.572932655775076,0.7428473187373316,0.6794950905656889,82,0.09170580133868547,
ENC-001,cross-donor,leak_free,tibial_nerve,0.7216946676406136,0.6053685810057337,0.841203606442577,0.7828938143544515,37,0.020696255614357974,
ENC-001,cross-donor,leak_free,transverse_colon,0.5988358879826267,0.5421961665074483,0.6539373793384389,0.6342493957911772,199,0.046563894523695706,
ENC-001,cross-donor,leak_free,upper_lobe_of_left_lung,0.6399393974710098,0.5745077830947362,0.7040410512279468,0.6616425798997358,131,0.06461214160037275,
ENC-002,matched,full,ALL,0.6232588019475657,0.6155555066213851,0.6303170930693114,0.6785788363319649,10877,0.06695260074598097,-0.06948708893502989
ENC-002,matched,leak_free,ALL,0.6377714786865835,0.616037770711282,0.6601439454866281,0.7010981501580305,1063,0.06241306498968696,-0.06234694846340502
ENC-002,matched,leak_free,Peyers_patch,0.6825050222726876,0.6067327035773638,0.7488566001918213,0.712850746496557,107,0.03687878586062696,
ENC-002,matched,leak_free,adrenal_gland,0.7148760330578512,0.6399482004736657,0.7871696755625326,0.7535663875299552,88,0.05071410977820595,
ENC-002,matched,leak_free,body_of_pancreas,0.6369545527199105,0.5702737311115683,0.7022152289203706,0.6723911240509828,137,0.04885904108023039,
ENC-002,matched,leak_free,breast_epithelium,0.6446280991735538,0.5018288647776183,0.769312354876161,0.7293128068562897,33,0.11204797041874225,
ENC-002,matched,leak_free,esophagus_muscularis_mucosa,0.6506508875739645,0.5516049336567429,0.7358822760094311,0.7057575177206841,65,0.054040970206803506,
ENC-002,matched,leak_free,esophagus_squamous_epithelium,0.6661495844875347,0.5892940392940392,0.7460217940567518,0.7528121203169005,95,0.07704841523360303,
ENC-002,matched,leak_free,gastroesophageal_sphincter,0.5458984375,0.40763750698226503,0.699997284674704,0.659263782413238,32,0.031360561099791844,
ENC-002,matched,leak_free,prostate_gland,0.7400173611111112,0.6381368326795156,0.838907039830892,0.7901168547769091,48,0.09280716486380457,
ENC-002,matched,leak_free,sigmoid_colon,0.5931321540062435,0.43432645542973286,0.7346759242647146,0.690197779507975,31,0.05544669198192277,
ENC-002,matched,leak_free,spleen,0.604224376731302,0.5373578944562883,0.668032167159607,0.6719548758154509,152,0.011132757715660682,
ENC-002,matched,leak_free,thyroid_gland,0.6491748117288895,0.5486699893308055,0.733383402699515,0.6918578008162927,79,0.07640395360488948,
ENC-002,matched,leak_free,transverse_colon,0.7337829795675461,0.6514117633173055,0.8122294672719389,0.7891710406145658,71,0.0961634145368152,
ENC-002,matched,leak_free,upper_lobe_of_left_lung,0.6671983486582849,0.5765679811683968,0.7565703353000888,0.7298261215403644,73,0.11259268594100208,
ENC-003,cross-donor,full,ALL,0.5837021766076178,0.575777075491324,0.5909905157654544,0.642513421062391,10462,0.04719965254872266,-0.06859284390083797
ENC-003,cross-donor,leak_free,ALL,0.5635764164407415,0.5446430619593011,0.583261472081347,0.6132469748536724,1704,0.05987205346644137,-0.08223314345048706
ENC-003,cross-donor,leak_free,Peyers_patch,0.5890276332523992,0.5316642844196725,0.646262842297405,0.6303464953494147,186,0.06538187354665204,
ENC-003,cross-donor,leak_free,adrenal_gland,0.6487534626038782,0.5724197677322678,0.7272825757575757,0.7120265188159937,95,0.06601892635380703,
ENC-003,cross-donor,leak_free,body_of_pancreas,0.5813615909420816,0.4973669623059867,0.6648515421712339,0.6309910222704678,83,0.06497717367036897,
ENC-003,cross-donor,leak_free,coronary_artery,0.546844181459566,0.4478998199588477,0.6382351544678326,0.6387873511707687,78,0.06046140364415207,
ENC-003,cross-donor,leak_free,esophagus_muscularis_mucosa,0.5987144168962351,0.4678079900704457,0.7401515151515151,0.6448060409475009,33,0.12455582990034189,
ENC-003,cross-donor,leak_free,esophagus_squamous_epithelium,0.6037882075764152,0.5359766576774773,0.6738493953682916,0.6686073086772164,127,0.08005175256468218,
ENC-003,cross-donor,leak_free,gastrocnemius_medialis,0.5899695561608715,0.5000765154842272,0.6745940328738789,0.6050498698731518,79,0.06964449627808343,
ENC-003,cross-donor,leak_free,gastroesophageal_sphincter,0.5672743055555556,0.45257224508674887,0.6827374116708717,0.6046180807623649,48,0.03568423472319883,
ENC-003,cross-donor,leak_free,heart_left_ventricle,0.541189838487136,0.46451233697859085,0.6165437581486312,0.617750964247238,111,0.07703115942887304,
ENC-003,cross-donor,leak_free,ovary,0.472719700124948,0.35091616700588596,0.5840955865937377,0.5842804896923988,49,0.0177827217084909,
ENC-003,cross-donor,leak_free,right_lobe_of_liver,0.6131766805472934,0.5242962148194706,0.6968072327920656,0.6960295853622482,82,0.06320303179464207,
ENC-003,cross-donor,leak_free,sigmoid_colon,0.474609375,0.33200046182266013,0.6205890449272803,0.5443568662414958,32,-0.044180624554297734,
ENC-003,cross-donor,leak_free,spleen,0.5766255144032922,0.5101501019397503,0.6422087493237891,0.6358652078808199,135,0.07338612312136401,
ENC-003,cross-donor,leak_free,stomach,0.559400826446281,0.44131163434345866,0.6748098129940234,0.6191230468159679,44,0.0677171088783433,
ENC-003,cross-donor,leak_free,thyroid_gland,0.5007407407407408,0.3737704557626867,0.6135687036120733,0.6121890884152816,45,0.1310788939838277,
ENC-003,cross-donor,leak_free,tibial_nerve,0.5599637194302607,0.48806853866809174,0.62944816433769,0.5964359378795168,122,0.03354350009549542,
ENC-003,cross-donor,leak_free,transverse_colon,0.5692312695109261,0.5014567004747595,0.6393164642032917,0.601200052040382,124,0.06079233757439376,
ENC-003,cross-donor,leak_free,upper_lobe_of_left_lung,0.4365289256198347,0.3376550397877984,0.550739757045509,0.5519872890644724,55,0.04042974757407143,
ENC-003,cross-donor,leak_free,uterus,0.5147004437869822,0.4345760323660714,0.5948830219336019,0.5735336854205315,104,0.0322253620770993,
ENC-003,cross-donor,leak_free,vagina,0.5283203125,0.3850720200103502,0.668621844632281,0.5940603576374139,32,0.08519744094702211,
ENC-004,cross-donor,full,ALL,0.5834711351626676,0.5757934876110231,0.5911307426821906,0.638921920122435,10629,0.056703217653585436,-0.07028891147563848
ENC-004,cross-donor,leak_free,ALL,0.5897680348341361,0.5660900697992263,0.6172493148798641,0.6674338343717852,989,0.06512335626016268,-0.08103129478416712
ENC-004,cross-donor,leak_free,adrenal_gland,0.6120973044049968,0.4851441557089824,0.7429630850362556,0.6953914639350628,39,0.07759318863865167,
ENC-004,cross-donor,leak_free,ascending_aorta,0.6476002629848784,0.5244466248459487,0.760160652762397,0.7304158790313932,39,0.0972053274434923,
ENC-004,cross-donor,leak_free,body_of_pancreas,0.6011362135024442,0.5215696776998185,0.6784158612471864,0.6915890261213908,87,0.045327218584390906,
ENC-004,cross-donor,leak_free,esophagus_muscularis_mucosa,0.6368366285119667,0.4846139758179232,0.7687560158688865,0.7067030019073273,31,0.05672047489022375,
ENC-004,cross-donor,leak_free,esophagus_squamous_epithelium,0.5897782585181179,0.46048054919908465,0.7094940082036567,0.695421134706564,43,0.06363061506512376,
ENC-004,cross-donor,leak_free,gastrocnemius_medialis,0.5297004132231404,0.40236311983471074,0.6645037239702083,0.6523850048880683,44,-0.017849003044603337,
ENC-004,cross-donor,leak_free,gastroesophageal_sphincter,0.6111191754971694,0.5285806640421337,0.6970968210190158,0.691821703289536,83,0.06788917057385363,
ENC-004,cross-donor,leak_free,heart_left_ventricle,0.6910076530612245,0.5870924010907033,0.7797070149714461,0.7449029112458282,56,0.06572877801611166,
ENC-004,cross-donor,leak_free,ovary,0.7134986225895316,0.5817245370370371,0.8338888888888888,0.7296280268080588,33,0.05639367735848894,
ENC-004,cross-donor,leak_free,right_atrium_auricular_region,0.6186224489795918,0.5075528749353547,0.7245049456564235,0.6999905159609008,56,0.10294122898133204,
ENC-004,cross-donor,leak_free,spleen,0.6130500000000001,0.5340401002506266,0.6867874144901444,0.6869372834697457,100,0.054375027890928226,
ENC-004,cross-donor,leak_free,stomach,0.6454293628808864,0.5173780903665814,0.7659008654602674,0.7114117147446258,38,0.06782338708633236,
ENC-004,cross-donor,leak_free,thyroid_gland,0.624196510560147,0.5274167623920915,0.7228751977439989,0.6862978933533659,66,0.08699201533824352,
ENC-004,cross-donor,leak_free,tibial_nerve,0.5680473372781065,0.47771532065168026,0.6550594405781421,0.5994404264727627,78,0.052065578085905596,
