chr,n,pos,pos_frac
chr1,21310,1839,0.07877152402981238
chr2,16929,1464,0.06270881521459779
chr3,12908,1213,0.05195750878094749
chr4,8862,955,0.04090636511607984
chr5,10700,1007,0.04313372740512293
chr6,15126,1590,0.0681058853765099
chr7,13561,1902,0.08147005911076843
chr8,9881,912,0.0390645078386019
chr9,12619,1324,0.056712070590251004
chr10,11726,1122,0.04805962477512208
chr11,11723,1120,0.04797395699477427
chr12,11233,1093,0.046817441960078816
chr13,4768,442,0.018932579456866272
chr14,7716,789,0.033795939347211514
chr15,7858,670,0.02869870641651675
chr16,9394,834,0.035723464405037264
chr17,12104,1432,0.06133813072903281
chr18,4275,409,0.01751906108112739
chr19,11909,1161,0.049730146491904395
chr20,7463,803,0.03439561380964619
chr21,4919,610,0.026128673006082414
chr22,6922,655,0.028056198063908164
