PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,target,example_id,confusion_category,pred_label
-1.053811,-0.07985464,-0.18286078,0.030351577,-0.023615055,0.10101116,0.0735644,0.04088294,0.022774886,-0.017379785,0,chr10:41481938:omental_fat_pad:0,FP,1
-1.1262048,-0.1703527,-0.2026751,0.036035128,-0.03482346,0.12628935,0.09416766,0.044246186,0.023770018,-0.02585177,0,chr17:26570769:omental_fat_pad:0,FP,1
-0.95701486,-0.07126533,-0.13750896,0.02105459,-0.017957954,0.06222499,0.041821215,0.006504814,0.02510021,-0.0077605406,0,chr17:26570783:omental_fat_pad:0,FP,1
-1.1150221,-0.14300959,-0.19364992,0.037783068,-0.033672113,0.11747813,0.09158292,0.03701591,0.023589037,-0.016407525,0,chr17:26589730:omental_fat_pad:0,FP,1
-0.5435656,0.06724622,-0.068399884,0.0075313337,0.018556118,-0.034258872,-0.013840788,-0.004478558,-0.000275944,0.005344711,0,chr20:28791007:omental_fat_pad:0,TN,0
-0.67549187,0.038165066,-0.11390651,0.0019392907,0.016788168,-0.03024391,-0.014576321,0.016366594,-0.017619649,0.0368333,0,chr20:28791014:omental_fat_pad:0,TN,0
0.16451328,0.74617094,0.16370721,-0.19085349,-0.00565536,-0.33398294,-0.17357105,-0.11625055,-0.10324899,-0.003508539,0,chr20:28791018:omental_fat_pad:0,FP,1
-0.99790436,-0.12749568,-0.15388381,0.047935966,-0.029118314,0.09824133,0.06529839,0.031913284,0.017209014,-0.018605892,0,chr21:10755685:omental_fat_pad:0,FP,1
-0.95155495,-0.06779455,-0.13991539,0.023525277,-0.009854382,0.068944335,0.058445364,0.0067446306,0.0119161485,-0.004522317,0,chr21:10755697:omental_fat_pad:0,FP,1
0.15849008,0.21533197,0.29164046,-0.042514373,0.0001412077,-0.17158137,-0.16679035,-0.0898187,-0.07129756,0.014270876,0,chr1:1906587:spleen:0,FP,1
-0.68301684,0.16091467,-0.10587227,-0.007126865,-0.0062444317,-0.018740308,0.005782991,-0.0044368054,0.014693808,0.00044575118,0,chr1:1919474:spleen:0,FP,1
-0.7661446,-0.014949883,-0.093888976,-0.013937801,0.014047536,0.008924205,0.03463804,0.008612728,-0.013788349,0.041918196,0,chr1:1919745:spleen:0,FP,1
-0.2750267,0.36075404,0.05126092,-0.019468654,0.0069637904,-0.1955857,-0.123627655,-0.15812574,0.028781567,0.069640234,0,chr1:1919748:spleen:0,FP,1
0.20017391,0.3767935,0.18627074,-0.0826301,0.030322049,-0.24389616,-0.100824304,-0.19772045,-0.035521593,0.13654165,0,chr1:1919772:spleen:0,FP,1
-0.17610328,0.5094228,0.07669851,-0.025532015,0.0111644445,-0.23423953,-0.09690668,-0.10586456,0.04024894,0.04064241,0,chr1:1943827:spleen:0,FP,1
-0.49346232,0.12163213,-0.018156337,0.016253145,0.013110029,-0.09721401,-0.036558814,-0.0035610516,0.0010775124,0.020661052,0,chr1:1943992:spleen:0,TN,0
-0.77695197,-0.29190233,-0.046286993,0.040261324,-0.056326,0.06742256,0.0672958,0.0016975371,0.0004245998,-0.0057469066,0,chr1:2108656:spleen:0,FP,1
-0.2328353,0.21945888,0.11426484,0.061301563,0.021460323,-0.11575002,-0.08052237,-0.0766929,-0.050909687,0.008345915,0,chr1:2140116:spleen:0,FP,1
-0.57793045,0.21273246,-0.050923888,-0.043117307,0.03527077,-0.028359562,-0.080345765,-0.032517668,-0.01861714,0.002558282,0,chr1:2140298:spleen:0,FP,1
-0.06919958,0.43493947,0.14473797,-0.02803404,-0.004429166,-0.16013142,-0.120980404,-0.13583118,-0.109548405,0.04176365,0,chr1:2151282:spleen:0,FP,1
-0.2869203,0.33190525,0.0023633926,0.08071708,0.08751994,-0.16844454,-0.10818652,-0.0804455,0.00846957,-0.0010042904,0,chr1:2151389:spleen:0,FP,1
-0.5155714,0.029916633,0.021606412,0.0073949085,0.011822717,-0.0039652726,-0.030506099,-0.059655182,0.027305229,0.04259267,0,chr1:2174438:spleen:0,FP,1
0.62957466,0.28014505,0.47966117,0.077205166,-0.24162938,0.003861418,-0.019250145,-0.21912318,-0.13915816,-0.16205347,0,chr1:2840630:spleen:0,FP,1
-0.48534366,0.22800486,-0.072531894,0.1252158,0.04033981,-0.023029052,0.05182656,-0.0071785203,0.065408096,-0.0029775193,0,chr1:3900385:spleen:0,TN,0
-0.6084516,0.22858612,0.013566473,-0.060250625,0.051499322,-0.059496854,-0.022127794,-0.022298254,0.0746033,-0.011913219,0,chr1:3900695:spleen:0,FP,1
-0.54777455,0.039656892,-0.015605661,0.029002137,-0.018560743,0.0037159803,0.04152294,-0.057571623,0.0072703795,-0.0012303308,0,chr1:3901040:spleen:0,FP,1
0.056762855,0.17651506,0.2644166,-0.0017200885,0.06568677,-0.19915499,-0.18897289,-0.12822144,-0.10999579,0.0780652,0,chr1:3901067:spleen:0,FP,1
0.22446819,0.47629964,0.36225626,-0.11718768,0.06012209,-0.12513295,-0.21704398,-0.0775309,-0.007819072,0.03755458,0,chr1:3901096:spleen:0,FP,1
-0.95413464,-0.06835175,-0.15565386,0.02678244,-0.035594184,0.08634873,0.05365729,0.03696998,0.033587776,-0.010402552,0,chr1:3901534:spleen:0,FP,1
-0.69904995,0.107586585,-0.11490065,-0.034027413,0.008753011,-0.08422023,0.01461486,-0.045389924,0.012650945,0.014142158,0,chr1:3910633:spleen:0,TN,0
0.63746005,0.57613283,0.3469973,0.10084487,-0.07879261,-0.14611128,-0.00575923,-0.30906364,-0.1832372,-0.10138072,0,chr1:5119654:spleen:0,FP,1
-0.5988086,0.21966131,-0.0329345,-0.068713315,-0.020739984,-0.035967473,-0.033678435,-0.07913056,-0.094356865,-0.04601536,0,chr1:8349078:spleen:0,FP,1
5.0236764,0.951702,0.3918501,-0.20346439,1.6576746,1.0032381,-0.78905505,1.1619083,-0.052640934,-0.6074134,0,chr1:8349611:spleen:0,TN,0
-0.34905756,0.26260805,0.044025134,-0.05178255,0.04868609,-0.108586565,-0.07388937,-0.096778095,-0.018842949,0.060288694,0,chr1:8349643:spleen:0,FP,1
-0.9484584,-0.06069069,-0.14159892,0.018023495,-0.015144195,0.06265318,0.06043816,0.0012245371,0.018793061,-0.026612228,0,chr1:12619843:spleen:0,FP,1
