chr,n,pos,pos_frac
chr1,4361,184,0.07319013524264122
chr2,3572,191,0.07597454256165473
chr3,2554,168,0.06682577565632458
chr4,1733,84,0.03341288782816229
chr5,2178,103,0.04097056483691328
chr6,3104,160,0.06364359586316627
chr7,2174,105,0.041766109785202864
chr8,2021,101,0.04017501988862371
chr9,2443,190,0.07557677008750995
chr10,2444,129,0.0513126491646778
chr11,2250,136,0.05409705648369133
chr12,2261,98,0.03898170246618934
chr13,1101,65,0.025855210819411296
chr14,1377,65,0.025855210819411296
chr15,1506,81,0.032219570405727926
chr16,1783,84,0.03341288782816229
chr17,2400,208,0.08273667462211615
chr18,854,50,0.01988862370723946
chr19,2156,113,0.04494828957836118
chr20,1314,80,0.031821797931583136
chr21,1058,56,0.022275258552108195
chr22,1148,63,0.025059665871121718
