PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,target,example_id,confusion_category,pred_label
-13.761447,8.418356,4.934076,-2.8880816,3.7790198,-1.4646597,-5.265279,0.78624773,1.9545841,2.0018768,0,chr9:90871380:esophagus_squamous_epithelium:0,TN,0
-12.139684,4.302704,-0.851689,2.6886435,-3.6722918,4.004727,-0.21531314,2.0331652,1.1929414,-3.3473666,0,chr5:172932814:prostate_gland:0,TN,0
-14.430074,9.155643,4.634201,1.2492781,-4.2587605,-1.5259957,1.0181795,1.0781467,-0.013980385,-1.8461368,0,chr4:87353587:body_of_pancreas:0,TN,0
9.381379,-12.59765,-2.3071897,4.4532375,4.1445036,2.7705207,-11.136461,1.0165797,2.7517207,1.9892976,0,chr16:88812322:Peyers_patch:0,TN,0
-6.567986,-4.215268,-2.7698817,0.41073534,1.7107432,2.8197367,2.9706106,-0.17415743,-1.3231463,-2.0157964,0,chr10:71956346:sigmoid_colon:0,TN,0
-7.0655766,-3.382411,-0.39639112,2.960296,-7.1879215,5.279291,4.2118034,0.67221856,-2.1460679,-0.5127357,0,chr1:13829182:spleen:0,TN,0
28.89014,2.1907384,4.3019114,3.2251298,-3.0281653,-5.2800827,3.8548877,8.32985,0.61255264,-1.7854027,0,chr10:62564420:testis:0,TN,0
-11.231603,5.4031215,2.732919,-2.398095,2.2685423,-1.9390036,0.5269146,-1.9166642,-1.0345887,-0.955531,0,chr8:17724627:sigmoid_colon:0,TN,0
-10.092697,2.8888643,0.8540146,-4.224937,1.2950143,-1.8148052,1.7294083,-0.7887359,-4.1926003,1.2110457,0,chr15:33022092:breast_epithelium:0,TN,0
-7.114084,-0.217476,-1.747897,-1.008842,2.3121345,-1.9088781,2.9634798,-0.9940837,0.75934434,-4.067641,0,chr18:51668259:transverse_colon:0,TN,0
-14.4910555,5.2398763,3.4324028,1.4824342,1.2161416,0.18804032,-1.3900291,-1.047531,1.1113354,0.1850183,0,chr22:22710845:thyroid_gland:0,TN,0
-11.977644,0.42484343,1.5265348,1.6518761,-4.7271385,1.7749311,1.8780917,-2.50173,-4.122122,2.5856307,0,chr18:51668138:spleen:0,TN,0
6.349158,-2.7895927,-6.3591332,2.914343,-0.3584325,-5.045051,-0.39890394,4.514396,-1.8173718,4.0969625,0,chr5:112492537:upper_lobe_of_left_lung:0,TN,0
-8.886118,3.3514702,2.582978,-0.74381924,3.1192873,-5.47092,-0.08396849,2.5177567,0.3517837,-0.092591725,0,chr3:12720387:transverse_colon:0,TN,0
-12.193004,6.1511393,1.776281,5.6608872,-3.3594549,-0.07140212,1.8392205,-1.3181214,2.593869,-1.9642999,0,chr4:98467775:gastroesophageal_sphincter:0,TN,0
-9.570604,-1.995395,3.8914397,4.2496552,0.45382562,0.56351334,0.29878035,0.1848156,3.0803952,-0.60456413,0,chr10:29517575:transverse_colon:0,TN,0
-4.420022,-1.4350588,-1.3070903,-5.797301,-0.49292973,6.4241347,-0.8459275,4.911146,-1.1794211,-1.1333802,0,chr9:98264018:adrenal_gland:0,TN,0
-12.215129,2.0515213,0.3060325,2.5361931,-2.0165012,3.2761738,0.67539954,1.6022899,-0.08113538,-0.8551883,0,chr15:77910471:gastroesophageal_sphincter:0,TN,0
39.199448,10.017368,-6.1490316,2.667422,0.7677704,-8.5560465,2.6117654,6.789461,0.7559832,8.355305,0,chr17:81491526:thyroid_gland:0,TN,0
-11.801107,1.6036146,5.3161902,3.2432566,1.0392941,0.5366785,0.30205607,0.15729436,0.46666953,-0.9279775,0,chr5:102780598:prostate_gland:0,TN,0
-12.215129,2.0515213,0.3060325,2.5361931,-2.0165012,3.2761738,0.6753995,1.6022899,-0.08113543,-0.8551883,0,chr15:77910471:sigmoid_colon:0,TN,0
-6.71459,-2.3760092,-2.859842,-0.92803246,3.9726634,3.3936484,-2.266831,-1.0132189,-1.8569033,0.6096349,0,chr7:63015582:spleen:0,TN,0
1.9990811,-3.0297308,-7.60755,8.203855,1.3040295,-4.9798946,2.7633314,-1.9311084,-2.6656277,4.662127,0,chr4:15681694:body_of_pancreas:0,TN,0
-10.565019,1.0369356,5.0314674,-2.8152611,-0.02320121,1.9523916,-2.149053,1.6768631,-4.54369,4.227102,0,chr16:4956539:gastroesophageal_sphincter:0,TN,0
-12.029817,0.86002535,1.5966774,1.0399705,0.7880416,3.2107894,-1.366875,-0.8210717,0.59538203,1.3944383,0,chr7:129091740:sigmoid_colon:0,TN,0
-11.8797655,2.1370237,-1.6764488,3.0957966,-1.3406501,4.2291203,-0.5438413,-1.3509271,2.0069656,-2.3717828,0,chr12:12837406:thyroid_gland:0,TN,0
-4.837747,-2.6575174,-3.615041,0.38492727,1.1393636,0.7083482,-1.1531705,-3.3777974,-3.3464503,2.4717786,0,chr6:32130098:spleen:0,TN,0
47.292625,1.4487574,1.6526419,-2.9686656,0.3314076,0.38015983,1.077707,-0.24368358,-7.3194103,-1.3914689,0,chr7:2314716:adrenal_gland:0,FP,1
-6.498786,-1.2186173,8.651135,-2.7535408,-1.7114161,-1.5634184,-0.42823523,7.342886,1.8748561,-0.22629459,0,chr8:109720374:sigmoid_colon:0,TN,0
3.7627442,-0.2709025,-6.5026703,5.621809,2.991724,-1.896542,-5.711923,1.340564,-2.0128698,5.6661024,0,chr16:4957776:body_of_pancreas:0,TN,0
-1.2064661,-0.62902194,-5.3619704,0.77371067,-3.1828153,-6.4082685,4.690123,-2.4305782,-4.878555,3.081945,0,chr10:15088794:thyroid_gland:0,TN,0
-5.151665,0.5348271,-1.2436658,-3.9078496,-6.49784,5.0306973,3.195572,4.1787243,-2.195072,-0.26129922,0,chr21:8315443:sigmoid_colon:0,TN,0
2.585302,-8.829003,10.881044,-3.8557668,1.8069959,-1.6554372,-2.968084,2.0109577,5.6110888,1.4579458,0,chr4:12724794:body_of_pancreas:0,TN,0
-6.3009796,-1.3674396,-2.543011,3.5103571,0.51419616,1.3070332,3.48093,-0.7350217,2.2794614,-5.025925,0,chr22:41666762:breast_epithelium:0,TN,0
-13.925098,5.2846885,1.1290144,5.770048,-0.091005675,-0.7688006,-2.2672057,-0.5842548,1.738959,-0.19481774,0,chr19:38403045:gastroesophageal_sphincter:0,TN,0
-9.109135,-1.262017,-1.2110585,-2.384599,-3.9763424,5.8564086,-1.4191734,5.484184,-1.1972414,-1.1937081,0,chr7:63015864:body_of_pancreas:0,TN,0
6.8549185,-11.077294,14.088957,2.622046,-8.039046,1.4375056,-4.851748,-3.0013678,5.2155037,1.12895,0,chr12:12836915:adrenal_gland:0,TN,0
-12.765921,0.20993671,0.78331226,-0.49098864,0.85681736,1.7434516,-2.3689826,-3.0366082,-1.0625145,3.264384,0,chr15:77910690:gastrocnemius_medialis:0,TN,0
-13.039079,2.901533,0.3936129,4.683029,-1.0313944,3.9118497,-4.6958957,-3.4608743,-0.4067896,2.238036,0,chr16:28945850:Peyers_patch:0,TN,0
-7.6975965,-0.41534898,-1.1722664,-0.64700204,3.469746,4.8099995,2.328937,5.3857756,-2.4174256,-2.750964,0,chr4:54999243:prostate_gland:0,TN,0
-9.869701,-1.0575291,1.3133254,-4.333296,3.7658956,1.5942891,-1.2501109,1.081766,-0.16263713,0.79078513,0,chr12:108063432:adrenal_gland:0,TN,0
-0.5893787,-2.59744,-4.3391824,-3.1311066,3.170819,0.7727434,-1.4175434,6.456071,2.716011,-2.5166388,0,chr15:77966905:prostate_gland:0,TN,0
1.5645146,-6.268795,11.683267,-1.4414164,-9.515173,1.4540834,-5.671851,1.2193851,3.8689063,3.2874372,0,chr3:45511597:adrenal_gland:0,TN,0
0.49662402,-6.5626125,-5.909479,7.072994,-1.0601505,-1.7179483,-1.4800062,-0.44055086,-3.265667,5.211831,0,chr17:35764320:sigmoid_colon:0,TN,0
-14.273933,7.8404384,5.269302,-2.17993,-0.49027207,0.06467674,-2.7376971,-0.8123914,-0.8284819,1.6310418,0,chr10:11472145:esophagus_squamous_epithelium:0,TN,0
-11.483257,3.595839,-1.0117989,8.330206,-7.6546803,2.5538669,1.2112515,-4.4046516,-0.9685399,-0.30818418,0,chr1:36553954:transverse_colon:0,TN,0
